sample,ratio,T1,t1,T2,t2,T3,t3,T4,t4,strength,modulus,elongation
1,0.875,95,1,125,3,150,4,170,3,73.55,5.6,1.48
2,1,100,2,130,3,150,3,160,2.5,62.73,5.2,1.35
3,1.2,95,1,115,3,140,4,155,3,91.14,5.72,1.94
4,1.2,95,4,115,4,140,2,155,2,106.84,5.24,2.93
5,1.2,85,5,110,4,130,2,150,2,99.16,5.14,2.6
6,1.2,95,1,115,3,140,4,160,3,93.86,5.29,2.33
7,1.3,85,5,105,4,130,2,150,2,116.13,5.17,3.39
8,1.3,95,4,115,4,140,2,155,2,109.92,5.22,2.95
9,1.4,90,2,115,3,140,4,155,3,100.32,5.51,2.28
10,1.4,90,4,115,4,140,2,155,2,84.99,5.3,1.95
11,1.4,85,5,105,4,130,2,150,2,126.95,5.25,3.69
12,1.4,85,5,105,4,135,2,155,1,125.2,5.24,3.8
A1,1.551,83,4.917,103,4.883,131,1.333,152,1.317,121.54,5.27,3.15
A1,1.349,92,4.183,101,4.516,132,1.533,152,1.417,124.91,5.23,3.58
A1,1.37,98,4.5,107,3.983,134,2.117,153,1.467,118.01,5.35,3.1
A1,1.249,94,1.25,115,3,140,4,150,3,122.71,5.31,3.42
A2,1.522,90,4.95,100,3.55,130,1.783,153,1.3,126,5.2,3.62
A2,1.486,93,4.167,101,3.317,134,1.317,153,2.9,119.44,5.51,2.97
A2,1.266,96,2.3,108,4.067,133,1.267,152,1.817,123.28,5.01,3.97
A2,1.372,98,3.117,111,3.05,144,4.233,150,2.933,127.06,5.43,3.44
A3,1.501,99,3.35,109,4.5,135,1.167,151,2.883,129.41,5.27,3.8
A3,1.264,95,3.117,113,2.267,148,4.233,150,4.083,97.85,5.25,2.36
A3,1.554,99,4.117,116,3.333,149,4.1,155,2.367,132.82,5.23,3.9
A3,1.318,95,2.367,108,3.167,132,1.333,153,3.617,118.07,5.3,3.21
